panel,series,t_min,x_cm_mm,probability_density_per_mm,Rg_over_lc,Re_over_lc,probability
C,living worm 20 C,22.1333,40.401,,,,
C,living worm 20 C,22.1667,37.307,,,,
C,living worm 20 C,22.2,34.723,,,,
C,living worm 20 C,22.2333,31.867,,,,
C,living worm 20 C,22.2667,28.161,,,,
C,living worm 20 C,22.3,26.801,,,,
C,living worm 20 C,22.3333,24.387,,,,
C,living worm 20 C,22.3667,22.619,,,,
C,living worm 20 C,22.4,22.041,,,,
C,living worm 20 C,22.4333,21.701,,,,
C,living worm 20 C,22.4667,21.565,,,,
C,living worm 20 C,22.5,20.273,,,,
C,living worm 20 C,22.5333,19.865,,,,
C,living worm 20 C,22.5667,20.307,,,,
C,living worm 20 C,22.6,16.244,,,,
C,living worm 20 C,22.6333,14.187,,,,
C,living worm 20 C,22.6667,11.909,,,,
C,living worm 20 C,22.7,9.835,,,,
C,living worm 20 C,22.7333,8.475,,,,
C,living worm 20 C,22.7667,7.183,,,,
C,living worm 20 C,22.8,6.673,,,,
C,living worm 20 C,22.8333,5.84,,,,
C,living worm 20 C,22.8667,6.469,,,,
C,living worm 20 C,22.9,6.061,,,,
C,living worm 20 C,22.9333,6.367,,,,
C,living worm 20 C,22.9667,6.605,,,,
C,living worm 20 C,23,6.469,,,,
C,living worm 20 C,23.0333,7.047,,,,
C,living worm 20 C,23.0667,6.605,,,,
C,living worm 20 C,23.1,7.863,,,,
C,living worm 20 C,23.1333,7.931,,,,
C,living worm 20 C,23.1667,7.319,,,,
C,living worm 20 C,23.2,7.149,,,,
C,living worm 20 C,23.2333,8.101,,,,
C,living worm 20 C,23.2667,6.741,,,,
C,living worm 20 C,23.3,6.299,,,,
C,living worm 20 C,23.3333,4.701,,,,
C,living worm 20 C,23.3667,4.701,,,,
C,living worm 20 C,23.4,4.497,,,,
C,living worm 20 C,23.4333,4.565,,,,
C,living worm 20 C,23.4667,4.395,,,,
C,living worm 20 C,23.5,4.055,,,,
C,living worm 20 C,23.5333,5.109,,,,
C,living worm 20 C,23.5667,4.735,,,,
C,living worm 20 C,23.6,3.953,,,,
C,living worm 20 C,23.6333,5.823,,,,
C,living worm 20 C,23.6667,5.687,,,,
C,living worm 20 C,23.7,4.429,,,,
C,living worm 20 C,23.7333,3.953,,,,
C,living worm 20 C,23.7667,3.613,,,,
C,living worm 20 C,23.8,3.953,,,,
C,living worm 20 C,23.8333,4.361,,,,
C,living worm 20 C,23.8667,4.225,,,,
C,living worm 20 C,23.9,3.647,,,,
C,living worm 20 C,23.9333,2.831,,,,
C,living worm 20 C,23.9667,3.239,,,,
C,living worm 20 C,24,2.899,,,,
C,living worm 20 C,24.0333,4.667,,,,
C,living worm 20 C,24.0667,4.055,,,,
C,living worm 20 C,24.1,3.375,,,,
